Date&Time,Open,High,Low,Close,Volume,52_Week_High,52_Week_Low,RSI,MACD,Signal,BB_Upper,BB_Lower,Volatility,%K,%D,OBV,APO,PPO,PPO_Signal,SMA,EMA,Implied_Volatility,Delta,Gamma,Theta,Vega,Strike Prices
2012-01-02,156.98,156.98,151.31,153.25,1423159,156.98,151.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,153.25,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-03,155.0,161.2,154.38,160.42,1187424,161.2,151.31,0.0,0.5719658119658391,0.1143931623931678,0.0,0.0,0.0,0.0,0.0,1187424,0.5719658119658391,0.3719350236405679,0.0743870047281135,0.0,153.93285714285713,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-04,160.8,161.49,158.06,159.72,1419344,161.49,151.31,0.0,0.9577285898653828,0.2830602478876108,0.0,0.0,0.0,0.0,0.0,-231920,0.9577285898653828,0.6210103753532301,0.1837116788531368,0.0,154.48401360544216,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-05,160.8,167.1,160.01,165.36,2077364,167.1,151.31,0.0,1.6989646285061326,0.5662411240113152,0.0,0.0,0.0,0.0,0.0,1845444,1.6989646285061326,1.0957800386323675,0.366125350808983,0.0,155.51982183349529,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-06,164.96,164.96,160.6,162.46,1883454,167.1,151.31,0.0,2.0290046630137795,0.858793831811808,0.0,0.0,0.0,0.0,0.0,-38010,2.0290046630137795,1.3040268546561695,0.5537056515784204,0.0,156.1807911826862,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-07,163.0,164.34,162.45,162.96,93189,167.1,151.31,0.0,2.304346517251787,1.147904368899804,0.0,0.0,0.0,0.0,0.0,55179,2.304346517251787,1.475812760605015,0.7381270733837395,0.0,156.82643011766848,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-09,163.3,166.94,160.3,164.94,1102714,167.1,151.31,0.0,2.65175855100236,1.4486752053203151,0.0,0.0,0.0,0.0,0.0,1157893,2.65175855100236,1.6912519909936548,0.9287520569057226,0.0,157.5991510588429,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-10,166.4,173.62,165.75,171.96,2177179,173.62,151.31,0.0,3.4537279956673217,1.8496857633897168,0.0,0.0,0.0,0.0,0.0,3335072,3.4537279956673217,2.1870645590046784,1.1804145573255138,0.0,158.9668509580007,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-11,173.26,177.6,172.1,176.09,1625569,177.6,151.31,0.0,4.372151600511188,2.354178930814011,0.0,0.0,0.0,0.0,0.0,4960641,4.372151600511188,2.745251137123226,1.4933818732850563,0.0,160.59762705723873,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-12,175.98,181.8,174.97,180.57,2505624,181.8,151.31,0.0,5.399268081793252,2.9631967610098595,0.0,0.0,0.0,0.0,0.0,7466265,5.399268081793252,3.356904145209296,1.866086327669904,0.0,162.49975781369218,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-13,182.4,183.01,178.0,178.97,2292214,183.01,151.31,0.0,6.014823523461047,3.573522113500097,0.0,0.0,0.0,0.0,0.0,5174051,6.014823523461047,3.708650662632793,2.234599194662482,0.0,164.06835230762627,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-16,178.76,178.76,173.0,177.19,2074364,183.01,151.31,0.0,6.286557005981848,4.116129091996448,0.0,0.0,0.0,0.0,0.0,3099687,6.286557005981848,3.849811398749407,2.5576416354798672,0.0,165.3180330402333,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-17,179.4,184.31,178.07,183.52,1506694,184.31,151.31,0.0,6.932769198771865,4.679457113351531,0.0,0.0,0.0,0.0,0.0,4606381,6.932769198771865,4.20694774378128,2.88750285714015,0.0,167.05155370306824,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-18,183.4,183.98,179.01,180.39,825109,184.31,151.31,0.0,7.110368276327904,5.165639345946806,0.0,0.0,0.0,88.12121212121208,0.0,3781272,7.110368276327904,4.284680126916471,3.1669383110954143,0.0,168.32188192182366,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-19,181.8,183.36,181.17,182.35,1071669,184.31,151.31,79.50121654501214,7.324836291207106,5.597478734998866,0.0,0.0,0.0,93.45138656866018,0.0,4852941,7.324836291207106,4.38183812434134,3.4099182737446,0.0,169.65789316736428,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
2012-01-20,183.0,191.0,183.0,189.71,1662444,191.0,151.31,79.5798828519491,7.996515376469063,6.077286063292906,0.0,0.0,0.0,96.08378870673955,92.55212913220394,6515385,7.996515376469063,4.73632768006805,3.67520015500929,0.0,171.5676176276153,0.382107682266311,0.4155170064139282,0.0172333691985025,-0.0453607074777712,0.0190157061628594,[]
